"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","45451","Verify the Search Box functionality in ""On Lot"" Tab for Subaru of New England Inc","chromium","Fri Aug 08 14:42:46 IST 2025","passed","Fri Aug 08 14:43:32 IST 2025","","Retailer: Subaru of New England Inc","",""
"","67801","Verify sort applied is removed when the vehicle is marked as Sold and grid is refreshed. ""Total Vehicles"" Tab for Profile Subaru","chromium","Fri Aug 08 18:13:10 IST 2025","passed","Fri Aug 08 18:14:18 IST 2025","","Retailer: Profile Subaru","",""
"","44230","Verify the Search Box functionality in ""Total Vehicles"" Tab for Profile Subaru","chromium","Fri Aug 08 14:43:32 IST 2025","passed","Fri Aug 08 14:44:16 IST 2025","","Retailer: Profile Subaru","",""
"","61712","Verify filters applied are removed when user clicks on ""Clear Filters"".""Total Vehicles"" Tab for Mitchell Subaru","chromium","Fri Aug 08 17:05:36 IST 2025","passed","Fri Aug 08 17:06:38 IST 2025","","Retailer: Mitchell Subaru","",""
"","50900","Verify the ""Filters"" text is changed to ""Clear Filters"" with applied filters count when filters are applied.""On Order"" Tab for Reynolds Garage and Marine","chromium","Fri Aug 08 16:26:39 IST 2025","passed","Fri Aug 08 16:27:30 IST 2025","","Retailer: Reynolds Garage and Marine","",""
"","48826","Verify VIN Key popup ""Total Vehicles"" Tab for Subaru of New England Inc","chromium","Fri Aug 08 18:46:26 IST 2025","failed","Fri Aug 08 18:47:15 IST 2025","","Retailer: Subaru of New England Inc","",""
"","93489","verify the filters displayed ""On Order"" Tab for Beard Subaru","chromium","Fri Aug 08 14:29:23 IST 2025","passed","Fri Aug 08 14:30:56 IST 2025","","Retailer: Beard Subaru","",""
"","33798","Verify Sort functionality after Filters applied.""Total Vehicles"" Tab for Burlington Subaru","chromium","Fri Aug 08 16:58:13 IST 2025","failed","Fri Aug 08 16:58:46 IST 2025","","Retailer: Burlington Subaru","",""
"","103609","Verify that the vehicle count in the filter should match with the grid data.""Total Vehicles"" Tab for Subaru of Wakefield","chromium","Fri Aug 08 18:04:26 IST 2025","broken","Fri Aug 08 18:06:10 IST 2025","","Retailer: Subaru of Wakefield","",""
"","35241","Verify the Pagination. ""Total Vehicles"" Tab for Burlington Subaru","chromium","Fri Aug 08 15:55:56 IST 2025","failed","Fri Aug 08 15:56:31 IST 2025","","Retailer: Burlington Subaru","",""
"","50724","Verify the Page Index functionality in ""On Order"" Tab for Subaru of New England Inc","chromium","Fri Aug 08 14:35:17 IST 2025","passed","Fri Aug 08 14:36:08 IST 2025","","Retailer: Subaru of New England Inc","",""
"","65850","Verify Sort functionality after Filters applied.""On Lot"" Tab for Mitchell Subaru","chromium","Fri Aug 08 16:54:56 IST 2025","passed","Fri Aug 08 16:56:02 IST 2025","","Retailer: Mitchell Subaru","",""
"","91170","Verify the Pagination functionality with filters and sort applied for rememberence. ""Total Vehicles"" Tab for Mitchell Subaru","chromium","Fri Aug 08 18:32:46 IST 2025","passed","Fri Aug 08 18:34:17 IST 2025","","Retailer: Mitchell Subaru","",""
"","48462","Verify the grid headers displayed. ""In Transit"" Tab for Secor Subaru","chromium","Fri Aug 08 16:03:19 IST 2025","failed","Fri Aug 08 16:04:07 IST 2025","","Retailer: Secor Subaru","",""
"","102928","Verify VIN Key popup ""In Transit"" Tab for Reynolds Garage and Marine","chromium","Fri Aug 08 18:58:57 IST 2025","broken","Fri Aug 08 19:00:40 IST 2025","","Retailer: Reynolds Garage and Marine","",""
"","49944","Verify the data in the grid when filter and sort applied.""On Lot"" Tab for Mitchell Subaru","chromium","Fri Aug 08 16:42:08 IST 2025","passed","Fri Aug 08 16:42:58 IST 2025","","Retailer: Mitchell Subaru","",""
"","51764","Verify the ""Filters"" text is changed to ""Clear Filters"" with applied filters count when filters are applied.""On Order"" Tab for Secor Subaru","chromium","Fri Aug 08 16:25:21 IST 2025","passed","Fri Aug 08 16:26:13 IST 2025","","Retailer: Secor Subaru","",""
"","45636","Verify the data in the grid when filter and sort applied.""On Lot"" Tab for Profile Subaru","chromium","Fri Aug 08 16:41:22 IST 2025","passed","Fri Aug 08 16:42:08 IST 2025","","Retailer: Profile Subaru","",""
"","65022","Verify the Pagination functionality with filters and sort applied for rememberence. ""On Order"" Tab for Beard Subaru","chromium","Fri Aug 08 18:33:40 IST 2025","passed","Fri Aug 08 18:34:45 IST 2025","","Retailer: Beard Subaru","",""
"","52809","Verify the mark sold functionality in ""On Order"" Tab for Mitchell Subaru","chromium","Fri Aug 08 15:16:00 IST 2025","failed","Fri Aug 08 15:16:53 IST 2025","","Retailer: Mitchell Subaru","",""
"","60752","Verify sort applied is removed when the vehicle is marked as Sold and grid is refreshed. ""On Order"" Tab for Beard Subaru","chromium","Fri Aug 08 18:17:19 IST 2025","passed","Fri Aug 08 18:18:20 IST 2025","","Retailer: Beard Subaru","",""
"","102686","Verify that the vehicle count in the filter should match with the grid data.""Total Vehicles"" Tab for Patrick Subaru","chromium","Fri Aug 08 18:09:39 IST 2025","broken","Fri Aug 08 18:11:22 IST 2025","","Retailer: Patrick Subaru","",""
"","44289","Validate Breadcrumb Navigation on SSLP Screen ""Mark as SSLP"" Tab for Patrick Subaru","chromium","Fri Aug 08 16:06:24 IST 2025","passed","Fri Aug 08 16:07:08 IST 2025","","Retailer: Patrick Subaru","",""
"","45011","Verify the Search Box functionality in ""On Lot"" Tab for Mitchell Subaru","chromium","Fri Aug 08 14:44:57 IST 2025","failed","Fri Aug 08 14:45:42 IST 2025","","Retailer: Mitchell Subaru","",""
"","101926","Verify the Edit Export Print functionality in ""On Lot"" Tab for Beard Subaru","chromium","Fri Aug 08 14:59:51 IST 2025","broken","Fri Aug 08 15:01:32 IST 2025","","Retailer: Beard Subaru","",""
"","42170","Verify the tabs displayed in the ""Inventory"" screen. ""Total Vehicles"" Tab for Reynolds Garage and Marine","chromium","Fri Aug 08 18:43:11 IST 2025","passed","Fri Aug 08 18:43:53 IST 2025","","Retailer: Reynolds Garage and Marine","",""
"","26979","Verify the data in the grid when filter and sort applied.""Total Vehicles"" Tab for Subaru of Wakefield","chromium","Fri Aug 08 16:44:32 IST 2025","failed","Fri Aug 08 16:44:59 IST 2025","","Retailer: Subaru of Wakefield","",""
"","45481","Verify the Search Box functionality in ""On Lot"" Tab for Patrick Subaru","chromium","Fri Aug 08 14:51:51 IST 2025","passed","Fri Aug 08 14:52:37 IST 2025","","Retailer: Patrick Subaru","",""
"","44761","Verify the sort applied Is removed when the grid is refreshed by changing / adding the filter.""On Order"" Tab for Reynolds Garage and Marine","chromium","Fri Aug 08 16:51:44 IST 2025","passed","Fri Aug 08 16:52:29 IST 2025","","Retailer: Reynolds Garage and Marine","",""
"","26162","Verify the grid headers displayed. ""In Transit"" Tab for Subaru of Wakefield","chromium","Fri Aug 08 16:03:12 IST 2025","failed","Fri Aug 08 16:03:38 IST 2025","","Retailer: Subaru of Wakefield","",""
"","103992","Verify the printed file when filters and sort were applied. Patrick Subaru","chromium","Fri Aug 08 19:09:05 IST 2025","broken","Fri Aug 08 19:10:49 IST 2025","","Retailer: Patrick Subaru","",""
"","43067","verify the filters displayed ""In Transit"" Tab for Center Subaru","chromium","Fri Aug 08 14:31:12 IST 2025","passed","Fri Aug 08 14:31:55 IST 2025","","Retailer: Center Subaru","",""
"","55085","Verify the ""Filters"" text is changed to ""Clear Filters"" with applied filters count when filters are applied.""On Order"" Tab for Subaru of New England Inc","chromium","Fri Aug 08 16:07:26 IST 2025","passed","Fri Aug 08 16:08:21 IST 2025","","Retailer: Subaru of New England Inc","",""
"","102738","Verify the filters from left to right.""On Lot"" Tab for Mitchell Subaru","chromium","Fri Aug 08 17:25:31 IST 2025","broken","Fri Aug 08 17:27:14 IST 2025","","Retailer: Mitchell Subaru","",""
"","26657","Verify  the breadcrumb in ""On Lot"" Tab for Subaru of Wakefield","chromium","Fri Aug 08 14:22:03 IST 2025","failed","Fri Aug 08 14:22:29 IST 2025","","Retailer: Subaru of Wakefield","",""
"","55219","Verify the ""Filters"" text is changed to ""Clear Filters"" with applied filters count when filters are applied.""In Transit"" Tab for Subaru of New England Inc","chromium","Fri Aug 08 16:07:29 IST 2025","passed","Fri Aug 08 16:08:24 IST 2025","","Retailer: Subaru of New England Inc","",""
"","53973","Verify the ""Filters"" text is changed to ""Clear Filters"" with applied filters count when filters are applied.""On Order"" Tab for Patrick Subaru","chromium","Fri Aug 08 16:28:02 IST 2025","passed","Fri Aug 08 16:28:56 IST 2025","","Retailer: Patrick Subaru","",""
"","29955","Verify the mark sold functionality in ""In Transit"" Tab for Burlington Subaru","chromium","Fri Aug 08 15:21:40 IST 2025","failed","Fri Aug 08 15:22:10 IST 2025","","Retailer: Burlington Subaru","",""
"","51841","verify the filters displayed ""In Transit"" Tab for Secor Subaru","chromium","Fri Aug 08 14:32:56 IST 2025","passed","Fri Aug 08 14:33:48 IST 2025","","Retailer: Secor Subaru","",""
"","45452","Verify that the grid has the vehicles only with vehicle status as ""On Lot"" ""On Lot"" Tab for Center Subaru","chromium","Fri Aug 08 15:49:05 IST 2025","passed","Fri Aug 08 15:49:51 IST 2025","","Retailer: Center Subaru","",""
"","51050","Verify VIN Key popup ""Buy a Demo"" Tab for Secor Subaru","chromium","Fri Aug 08 18:57:36 IST 2025","passed","Fri Aug 08 18:58:27 IST 2025","","Retailer: Secor Subaru","",""
"","30131","Verify the Pagination. ""In Transit"" Tab for Subaru of Wakefield","chromium","Fri Aug 08 15:56:35 IST 2025","failed","Fri Aug 08 15:57:05 IST 2025","","Retailer: Subaru of Wakefield","",""
"","101535","Verify that the ""Search the grid"" function displays results even when filters are applied ""Buy a Demo"" Tab for Secor Subaru","chromium","Fri Aug 08 16:36:15 IST 2025","failed","Fri Aug 08 16:37:57 IST 2025","","Retailer: Secor Subaru","",""
